FORMATTED_BATCH_ID,SUPPLIER,SUPPLIER_REF,WELL_REF,BARCODE,Starting Concentration,Concentration Range
CBP-0017466-07,P3_Prestwick,Prestw-100,G07,B006,0,A
CBP-0017467-05,P3_Prestwick,Prestw-477,J08,B007,0,A
CBP-0017470-04,P3_Prestwick,Prestw-1016,H20,B008,0,A
CBP-0017478-04,P3_Prestwick,Prestw-90,K06,B006,0,A
CBP-0017479-04,P3_Prestwick,Prestw-375,F02,B007,0,A
CBP-0017480-03,P3_Prestwick,Prestw-41,I03,B006,0,A
CBP-0017496-03,P3_Prestwick,Prestw-505,I10,B007,0,A
CBP-0017498-04,P3_Prestwick,Prestw-99,E07,B006,0,A
CBP-0017499-03,P3_Prestwick,Prestw-778,K05,B008,0,A
CBP-0017500-04,P3_Prestwick,Prestw-1441,C14,B007,0,A
CBP-0017504-04,P3_Prestwick,Prestw-241,A16,B006,0,A
CBP-0017505-06,P3_Prestwick,Prestw-308,G20,B006,0,A
CBP-0017506-04,P3_Prestwick,Prestw-374,D02,B007,0,A
CBP-0017516-04,P3_Prestwick,Prestw-255,N16,B006,0,A
CBP-0017517-03,P3_Prestwick,Prestw-531,E12,B007,0,A
CBP-0017518-04,P3_Prestwick,Prestw-194,C13,B006,0,A
CBP-0017520-03,P3_Prestwick,Prestw-1099,M03,B009,0,A
CBP-0017521-03,P3_Prestwick,Prestw-108,O07,B006,0,A
CBP-0017522-04,P3_Prestwick,Prestw-246,D16,B006,0,A
CBP-0017524-04,P3_Prestwick,Prestw-1034,K21,B008,0,A
CBP-0017538-03,P3_Prestwick,Prestw-583,F15,B007,0,A
CBP-0017541-03,P3_Prestwick,Prestw-468,G08,B007,0,A
CBP-0017551-05,P3_Prestwick,Prestw-40,H03,B006,0,A
CBP-0017554-04,P3_Prestwick,Prestw-364,O01,B007,0,A
CBP-0017555-03,P3_Prestwick,Prestw-188,O12,B006,0,A
CBP-0017558-03,P3_Prestwick,Prestw-344,H22,B006,0,A
CBP-0017575-03,P3_Prestwick,Prestw-1447,C21,B007,0,A
CBP-0017580-04,P3_Prestwick,Prestw-617,I17,B007,0,A
CBP-0017585-03,P3_Prestwick,Prestw-206,L13,B006,0,A
CBP-0017587-03,P3_Prestwick,Prestw-1065,I01,B009,0,A
CBP-0017589-03,P3_Prestwick,Prestw-260,G17,B006,0,A
CBP-0017591-04,P3_Prestwick,Prestw-499,E10,B007,0,A
CBP-0017592-03,P3_Prestwick,Prestw-42,K03,B006,0,A
CBP-0017593-03,P3_Prestwick,Prestw-1002,K19,B008,0,A
CBP-0017595-03,P3_Prestwick,Prestw-683,M21,B007,0,A
CBP-0017596-05,P3_Prestwick,Prestw-458,K07,B007,0,A
CBP-0017597-03,P3_Prestwick,Prestw-537,I12,B007,0,A
CBP-0017600-03,P3_Prestwick,Prestw-318,L20,B006,0,A
CBP-0017611-03,P3_Prestwick,Prestw-254,L16,B006,0,A
CBP-0017614-03,P3_Prestwick,Prestw-733,J02,B008,0,A
CBP-0017615-04,P3_Prestwick,Prestw-289,A19,B006,0,A
CBP-0017622-03,P3_Prestwick,Prestw-125,J08,B006,0,A
CBP-0017624-04,P3_Prestwick,Prestw-162,C11,B006,0,A
CBP-0017626-05,P3_Prestwick,Prestw-449,A07,B007,0,A
CBP-0017628-04,P3_Prestwick,Prestw-383,N02,B007,0,A
CBP-0017630-05,P3_Prestwick,Prestw-63,N04,B006,0,A
CBP-0017631-06,P3_Prestwick,Prestw-862,L10,B008,0,A
CBP-0017633-08,P3_Prestwick,Prestw-257,A17,B006,0,A
CBP-0017637-04,P3_Prestwick,Prestw-256,P16,B006,0,A
CBP-0017641-03,P3_Prestwick,Prestw-1158,C15,B007,0,A
CBP-0017642-04,P3_Prestwick,Prestw-928,P14,B008,0,A
CBP-0017645-03,P3_Prestwick,Prestw-693,B22,B007,0,A
CBP-0017647-03,P3_Prestwick,Prestw-170,K11,B006,0,A
CBP-0017649-03,P3_Prestwick,Prestw-59,M04,B006,0,A
CBP-0017652-03,P3_Prestwick,Prestw-535,F12,B007,0,A
CBP-0017654-05,P3_Prestwick,Prestw-385,A03,B007,0,A
CBP-0017655-03,P3_Prestwick,Prestw-514,C11,B007,0,A
CBP-0017657-04,P3_Prestwick,Prestw-933,B15,B008,0,A
CBP-0017665-05,P3_Prestwick,Prestw-1092,G03,B009,0,A
CBP-0017667-05,P3_Prestwick,Prestw-924,O14,B008,0,A
CBP-0017679-04,P3_Prestwick,Prestw-993,A19,B008,0,A
CBP-0017688-04,P3_Prestwick,Prestw-905,I13,B008,0,A
CBP-0017691-03,P3_Prestwick,Prestw-216,H14,B006,0,A
CBP-0017694-04,P3_Prestwick,Prestw-190,L12,B006,0,A
CBP-0017695-06,P3_Prestwick,Prestw-97,A07,B006,0,A
CBP-0017698-04,P3_Prestwick,Prestw-545,A13,B007,0,A
CBP-0017702-04,P3_Prestwick,Prestw-1751,L14,B009,0,A
CBP-0017703-05,P3_Prestwick,Prestw-167,F11,B006,0,A
CBP-0017705-03,P3_Prestwick,Prestw-1029,B21,B008,0,A
CBP-0017707-04,P3_Prestwick,Prestw-1325,N08,B007,0,A
CBP-0017714-03,P3_Prestwick,Prestw-701,J22,B007,0,A
CBP-0017721-05,P3_Prestwick,Prestw-554,K13,B007,0,A
CBP-0017724-04,P3_Prestwick,Prestw-966,D17,B008,0,A
CBP-0017729-06,P3_Prestwick,Prestw-141,J09,B006,0,A
CBP-0017730-03,P3_Prestwick,Prestw-1088,P02,B009,0,A
CBP-0017732-03,P3_Prestwick,Prestw-21,B02,B006,0,A
CBP-0017733-06,P3_Prestwick,Prestw-268,O17,B006,0,A
CBP-0017737-03,P3_Prestwick,Prestw-501,B10,B007,0,A
CBP-0017738-03,P3_Prestwick,Prestw-391,F03,B007,0,A
CBP-0017740-03,P3_Prestwick,Prestw-53,B04,B006,0,A
CBP-0017741-03,P3_Prestwick,Prestw-806,D07,B008,0,A
CBP-0017745-03,P3_Prestwick,Prestw-34,C03,B006,0,A
CBP-0017763-03,P3_Prestwick,Prestw-698,K22,B007,0,A
CBP-0017768-03,P3_Prestwick,Prestw-874,K11,B008,0,A
CBP-0017778-03,P3_Prestwick,Prestw-598,D16,B007,0,A
CBP-0017780-04,P3_Prestwick,Prestw-923,M14,B008,0,A
CBP-0017782-03,P3_Prestwick,Prestw-223,N14,B006,0,A
CBP-0017786-04,P3_Prestwick,Prestw-751,N03,B008,0,A
CBP-0017794-03,P3_Prestwick,Prestw-584,H15,B007,0,A
CBP-0017800-04,P3_Prestwick,Prestw-335,N21,B006,0,A
CBP-0017803-04,P3_Prestwick,Prestw-198,D13,B006,0,A
CBP-0017804-04,P3_Prestwick,Prestw-977,A18,B008,0,A
CBP-0017809-04,P3_Prestwick,Prestw-633,I18,B007,0,A
CBP-0017810-03,P3_Prestwick,Prestw-1352,C08,B009,0,A
CBP-0017811-03,P3_Prestwick,Prestw-292,G19,B006,0,A
CBP-0017813-04,P3_Prestwick,Prestw-120,H08,B006,0,A
CBP-0017818-04,P3_Prestwick,Prestw-288,P18,B006,0,A
CBP-0017824-04,P3_Prestwick,Prestw-262,D17,B006,0,A
CBP-0017832-04,P3_Prestwick,Prestw-56,H04,B006,0,A
CBP-0017834-05,P3_Prestwick,Prestw-73,I05,B006,0,A
CBP-0017838-03,P3_Prestwick,Prestw-571,M14,B007,0,A
CBP-0017844-03,P3_Prestwick,Prestw-208,P13,B006,0,A
CBP-0017852-04,P3_Prestwick,Prestw-392,H03,B007,0,A
CBP-0017856-05,P3_Prestwick,Prestw-313,I20,B006,0,A
CBP-0017858-03,P3_Prestwick,Prestw-78,L05,B006,0,A
CBP-0017864-03,P3_Prestwick,Prestw-443,M06,B007,0,A
CBP-0017869-09,P3_Prestwick,Prestw-146,C10,B006,0,A
CBP-0017870-03,P3_Prestwick,Prestw-138,K09,B006,0,A
CBP-0017871-04,P3_Prestwick,Prestw-228,G15,B006,0,A
CBP-0017872-04,P3_Prestwick,Prestw-972,O17,B008,0,A
CBP-0017875-04,P3_Prestwick,Prestw-976,P17,B008,0,A
CBP-0017884-04,P3_Prestwick,Prestw-1198,I16,B007,0,A
CBP-0017885-04,P3_Prestwick,Prestw-303,N19,B006,0,A
CBP-0017886-04,P3_Prestwick,Prestw-922,K14,B008,0,A
CBP-0017887-07,P3_Prestwick,Prestw-192,P12,B006,0,A
CBP-0039204-03,P3_Prestwick,Prestw-217,I14,B006,0,A
CBP-0040519-03,P3_Prestwick,Prestw-1282,C06,B009,0,A
CBP-0063605-02,P3_Prestwick,Prestw-1,A01,B006,0,A
CBP-0063606-02,P3_Prestwick,Prestw-161,A11,B006,0,A
CBP-0063607-02,P3_Prestwick,Prestw-11,M01,B006,0,A
CBP-0063608-02,P3_Prestwick,Prestw-171,M11,B006,0,A
CBP-0063609-02,P3_Prestwick,Prestw-181,B12,B006,0,A
CBP-0063610-02,P3_Prestwick,Prestw-31,N02,B006,0,A
CBP-0063612-02,P3_Prestwick,Prestw-221,J14,B006,0,A
CBP-0063613-02,P3_Prestwick,Prestw-81,A06,B006,0,A
CBP-0063614-03,P3_Prestwick,Prestw-261,B17,B006,0,A
CBP-0063615-02,P3_Prestwick,Prestw-271,N17,B006,0,A
CBP-0063616-02,P3_Prestwick,Prestw-281,I18,B006,0,A
CBP-0063617-02,P3_Prestwick,Prestw-301,J19,B006,0,A
CBP-0063618-02,P3_Prestwick,Prestw-151,F10,B006,0,A
CBP-0063619-02,P3_Prestwick,Prestw-2,C01,B006,0,A
CBP-0063620-02,P3_Prestwick,Prestw-12,O01,B006,0,A
CBP-0063621-02,P3_Prestwick,Prestw-172,O11,B006,0,A
CBP-0063622-02,P3_Prestwick,Prestw-22,D02,B006,0,A
CBP-0063623-02,P3_Prestwick,Prestw-32,P02,B006,0,A
CBP-0063624-02,P3_Prestwick,Prestw-202,K13,B006,0,A
CBP-0063625-02,P3_Prestwick,Prestw-222,L14,B006,0,A
CBP-0063626-04,P3_Prestwick,Prestw-1424,C06,B006,0,A
CBP-0063627-02,P3_Prestwick,Prestw-112,P07,B006,0,A
CBP-0063628-02,P3_Prestwick,Prestw-1474,H10,B006,0,A
CBP-0063629-02,P3_Prestwick,Prestw-13,J01,B006,0,A
CBP-0063630-02,P3_Prestwick,Prestw-23,F02,B006,0,A
CBP-0063631-02,P3_Prestwick,Prestw-33,A03,B006,0,A
CBP-0063632-03,P3_Prestwick,Prestw-203,M13,B006,0,A
CBP-0063633-02,P3_Prestwick,Prestw-233,I15,B006,0,A
CBP-0063634-02,P3_Prestwick,Prestw-243,E16,B006,0,A
CBP-0063635-02,P3_Prestwick,Prestw-93,J06,B006,0,A
CBP-0063636-03,P3_Prestwick,Prestw-253,J16,B006,0,A
CBP-0063637-02,P3_Prestwick,Prestw-123,M08,B006,0,A
CBP-0063638-02,P3_Prestwick,Prestw-143,N09,B006,0,A
CBP-0063639-02,P3_Prestwick,Prestw-153,I10,B006,0,A
CBP-0063640-02,P3_Prestwick,Prestw-164,G11,B006,0,A
CBP-0063641-02,P3_Prestwick,Prestw-14,L01,B006,0,A
CBP-0063642-02,P3_Prestwick,Prestw-24,H02,B006,0,A
CBP-0063643-02,P3_Prestwick,Prestw-184,H12,B006,0,A
CBP-0063644-02,P3_Prestwick,Prestw-44,O03,B006,0,A
CBP-0063645-02,P3_Prestwick,Prestw-204,O13,B006,0,A
CBP-0063646-02,P3_Prestwick,Prestw-54,D04,B006,0,A
CBP-0063647-03,P3_Prestwick,Prestw-214,D14,B006,0,A
